#params: learningRate 0.100, momentum 0.000, numIterations 10000, printEvery 100, printFirst 10000
iteration 0, loss 1.01049072
iteration 1, loss 1.58038791
iteration 2, loss 2.00808945
iteration 3, loss 2.29757412
iteration 4, loss 2.48857583
iteration 5, loss 2.61481905
iteration 6, loss 2.70098532
iteration 7, loss 2.76181092
iteration 8, loss 2.80437717
iteration 9, loss 2.83307723
iteration 10, loss 2.85384807
iteration 11, loss 2.86916991
iteration 12, loss 2.88011466
iteration 13, loss 2.88783996
iteration 14, loss 2.89362040
iteration 15, loss 2.89704637
iteration 16, loss 2.90055069
iteration 17, loss 2.90288904
iteration 18, loss 2.90450413
iteration 19, loss 2.90602058
iteration 20, loss 2.90594893
iteration 21, loss 2.90524762
iteration 22, loss 2.90707131
iteration 23, loss 2.90811532
iteration 24, loss 2.90806763
iteration 25, loss 2.90772153
iteration 26, loss 2.90778111
iteration 27, loss 2.90845185
iteration 28, loss 2.90815115
iteration 29, loss 2.90921396
iteration 30, loss 2.90955426
iteration 31, loss 2.90969189
iteration 32, loss 2.90781382
iteration 33, loss 2.90840338
iteration 34, loss 2.90986294
iteration 35, loss 2.90927074
iteration 36, loss 2.90927748
iteration 37, loss 2.91022791
iteration 38, loss 2.90968558
iteration 39, loss 2.91046546
iteration 40, loss 2.90974134
iteration 41, loss 2.91033355
iteration 42, loss 2.91143161
iteration 43, loss 2.90981346
iteration 44, loss 2.91031892
iteration 45, loss 2.91127814
iteration 46, loss 2.90942639
iteration 47, loss 2.91047891
iteration 48, loss 2.91160469
iteration 49, loss 2.91075081
iteration 50, loss 2.91176185
iteration 51, loss 2.91120947
iteration 52, loss 2.91149730
iteration 53, loss 2.91222578
iteration 54, loss 2.91256093
iteration 55, loss 2.91117956
iteration 56, loss 2.91155518
iteration 57, loss 2.91208716
iteration 58, loss 2.91014972
iteration 59, loss 2.91171848
iteration 60, loss 2.91250446
iteration 61, loss 2.91151272
iteration 62, loss 2.91243171
iteration 63, loss 2.91008108
iteration 64, loss 2.91119314
iteration 65, loss 2.91227574
iteration 66, loss 2.91242141
iteration 67, loss 2.91190751
iteration 68, loss 2.91200894
iteration 69, loss 2.91309125
iteration 70, loss 2.91121968
iteration 71, loss 2.91159043
iteration 72, loss 2.91253180
iteration 73, loss 2.91281125
iteration 74, loss 2.91332258
iteration 75, loss 2.91222264
iteration 76, loss 2.91337077
iteration 77, loss 2.91359299
iteration 78, loss 2.91284372
iteration 79, loss 2.91195254
iteration 80, loss 2.91230157
iteration 81, loss 2.91217021
iteration 82, loss 2.91226428
iteration 83, loss 2.91077091
iteration 84, loss 2.91233475
iteration 85, loss 2.91283471
iteration 86, loss 2.91188297
iteration 87, loss 2.91222753
iteration 88, loss 2.91250601
iteration 89, loss 2.91165121
iteration 90, loss 2.91280227
iteration 91, loss 2.91265232
iteration 92, loss 2.91330274
iteration 93, loss 2.91319634
iteration 94, loss 2.90968216
iteration 95, loss 2.91187676
iteration 96, loss 2.91217162
iteration 97, loss 2.91214197
iteration 98, loss 2.91213742
iteration 99, loss 2.91247815
iteration 100, loss 2.91136537
iteration 101, loss 2.91281978
iteration 102, loss 2.91215250
iteration 103, loss 2.91205954
iteration 104, loss 2.91262848
iteration 105, loss 2.91145804
iteration 106, loss 2.91263298
iteration 107, loss 2.91232981
iteration 108, loss 2.91192336
iteration 109, loss 2.90955620
iteration 110, loss 2.91120506
iteration 111, loss 2.91138796
iteration 112, loss 2.91222305
iteration 113, loss 2.91162580
iteration 114, loss 2.91185137
iteration 115, loss 2.91138148
iteration 116, loss 2.91022030
iteration 117, loss 2.91158556
iteration 118, loss 2.91139934
iteration 119, loss 2.91211276
iteration 120, loss 2.91218187
iteration 121, loss 2.91040047
iteration 122, loss 2.91116022
iteration 123, loss 2.91192433
iteration 124, loss 2.91075747
iteration 125, loss 2.90914565
iteration 126, loss 2.90823021
iteration 127, loss 2.91074244
iteration 128, loss 2.90881249
iteration 129, loss 2.91009317
