#params: learningRate 0.050, momentum 0.100, numIterations 10000, printEvery 100, printFirst 10000
iteration 0, loss 0.76740132
iteration 1, loss 0.91057626
iteration 2, loss 1.04320104
iteration 3, loss 1.16587490
iteration 4, loss 1.27650616
iteration 5, loss 1.37598192
iteration 6, loss 1.46490542
iteration 7, loss 1.54476019
iteration 8, loss 1.61487567
iteration 9, loss 1.67682409
iteration 10, loss 1.73099671
iteration 11, loss 1.77925005
iteration 12, loss 1.82286570
iteration 13, loss 1.85873200
iteration 14, loss 1.89092957
iteration 15, loss 1.91974851
iteration 16, loss 1.94509100
iteration 17, loss 1.96658998
iteration 18, loss 1.98764857
iteration 19, loss 2.00357727
iteration 20, loss 2.01859108
iteration 21, loss 2.03143447
iteration 22, loss 2.04343575
iteration 23, loss 2.05313584
iteration 24, loss 2.06174342
iteration 25, loss 2.06965773
iteration 26, loss 2.07662232
iteration 27, loss 2.08230179
iteration 28, loss 2.08766539
iteration 29, loss 2.09248823
iteration 30, loss 2.09664555
iteration 31, loss 2.10057821
iteration 32, loss 2.10359034
iteration 33, loss 2.10631493
iteration 34, loss 2.10844478
iteration 35, loss 2.11070929
iteration 36, loss 2.11271354
iteration 37, loss 2.11434697
iteration 38, loss 2.11576461
iteration 39, loss 2.11695251
iteration 40, loss 2.11806877
iteration 41, loss 2.11868940
iteration 42, loss 2.11959069
iteration 43, loss 2.12000480
iteration 44, loss 2.12051996
iteration 45, loss 2.12117432
iteration 46, loss 2.12202338
iteration 47, loss 2.12223329
iteration 48, loss 2.12258632
iteration 49, loss 2.12264931
iteration 50, loss 2.12305808
iteration 51, loss 2.12337327
iteration 52, loss 2.12366720
iteration 53, loss 2.12371740
iteration 54, loss 2.12398444
iteration 55, loss 2.12393964
iteration 56, loss 2.12407363
iteration 57, loss 2.12496169
iteration 58, loss 2.12348691
iteration 59, loss 2.12408984
iteration 60, loss 2.12378031
iteration 61, loss 2.12352114
iteration 62, loss 2.12397589
iteration 63, loss 2.12384543
iteration 64, loss 2.12347238
iteration 65, loss 2.12360512
iteration 66, loss 2.12361262
iteration 67, loss 2.12334459
iteration 68, loss 2.12338064
iteration 69, loss 2.12314281
iteration 70, loss 2.12421999
iteration 71, loss 2.12260804
iteration 72, loss 2.12263039
iteration 73, loss 2.12232099
iteration 74, loss 2.12236471
iteration 75, loss 2.12217753
iteration 76, loss 2.12201627
iteration 77, loss 2.12183322
iteration 78, loss 2.12185599
iteration 79, loss 2.12161155
iteration 80, loss 2.12142305
iteration 81, loss 2.12112366
iteration 82, loss 2.12119283
iteration 83, loss 2.12071508
iteration 84, loss 2.12063657
iteration 85, loss 2.12057946
iteration 86, loss 2.12027858
iteration 87, loss 2.12020135
iteration 88, loss 2.12001963
iteration 89, loss 2.11948612
iteration 90, loss 2.11938763
iteration 91, loss 2.11933057
iteration 92, loss 2.11882695
iteration 93, loss 2.11858066
iteration 94, loss 2.11847343
iteration 95, loss 2.11818357
iteration 96, loss 2.11785415
iteration 97, loss 2.11761491
iteration 98, loss 2.11693504
iteration 99, loss 2.11658647
iteration 100, loss 2.11619093
iteration 101, loss 2.11621666
iteration 102, loss 2.11563293
iteration 103, loss 2.11528006
iteration 104, loss 2.11541781
iteration 105, loss 2.11484273
iteration 106, loss 2.11450030
iteration 107, loss 2.11414210
iteration 108, loss 2.11314083
iteration 109, loss 2.11287895
iteration 110, loss 2.11260615
iteration 111, loss 2.11248150
iteration 112, loss 2.11214595
iteration 113, loss 2.11171327
iteration 114, loss 2.11115331
iteration 115, loss 2.11076596
iteration 116, loss 2.11029781
iteration 117, loss 2.10991804
iteration 118, loss 2.10921568
iteration 119, loss 2.10848049
iteration 120, loss 2.10815998
iteration 121, loss 2.10775704
iteration 122, loss 2.10667868
iteration 123, loss 2.10652053
iteration 124, loss 2.10605756
iteration 125, loss 2.10549430
iteration 126, loss 2.10587021
iteration 127, loss 2.10390079
iteration 128, loss 2.10325936
iteration 129, loss 2.10270148
iteration 130, loss 2.10206983
iteration 131, loss 2.10156346
iteration 132, loss 2.10070527
iteration 133, loss 2.09999596
iteration 134, loss 2.09934110
iteration 135, loss 2.09874504
iteration 136, loss 2.09780958
iteration 137, loss 2.09838858
iteration 138, loss 2.09630707
iteration 139, loss 2.09574223
iteration 140, loss 2.09474443
iteration 141, loss 2.09407015
iteration 142, loss 2.09403453
iteration 143, loss 2.09183188
iteration 144, loss 2.09096662
iteration 145, loss 2.09021315
iteration 146, loss 2.08922610
iteration 147, loss 2.08814529
iteration 148, loss 2.08704651
iteration 149, loss 2.08758468
iteration 150, loss 2.08463944
iteration 151, loss 2.08338760
iteration 152, loss 2.08261211
iteration 153, loss 2.08129666
iteration 154, loss 2.08051073
iteration 155, loss 2.07926738
iteration 156, loss 2.07806795
iteration 157, loss 2.07678330
iteration 158, loss 2.07565037
iteration 159, loss 2.07433249
iteration 160, loss 2.07251917
iteration 161, loss 2.07064942
iteration 162, loss 2.07026581
iteration 163, loss 2.06918582
iteration 164, loss 2.06639090
iteration 165, loss 2.06534501
iteration 166, loss 2.06346331
iteration 167, loss 2.06241374
iteration 168, loss 2.06097221
iteration 169, loss 2.05932352
iteration 170, loss 2.05832201
iteration 171, loss 2.05576440
iteration 172, loss 2.05390337
iteration 173, loss 2.05214812
iteration 174, loss 2.05026082
iteration 175, loss 2.04801553
iteration 176, loss 2.04776599
iteration 177, loss 2.04462680
iteration 178, loss 2.04364273
iteration 179, loss 2.04029600
iteration 180, loss 2.03970847
iteration 181, loss 2.03751294
iteration 182, loss 2.03383681
iteration 183, loss 2.03145345
iteration 184, loss 2.02928503
iteration 185, loss 2.02892055
iteration 186, loss 2.02509583
iteration 187, loss 2.02286567
iteration 188, loss 2.02054953
iteration 189, loss 2.01794060
iteration 190, loss 2.01544948
iteration 191, loss 2.01248205
iteration 192, loss 2.01056545
iteration 193, loss 2.00880107
iteration 194, loss 2.00435350
iteration 195, loss 2.00174891
iteration 196, loss 1.99838632
iteration 197, loss 1.99649385
iteration 198, loss 1.99410591
iteration 199, loss 1.99082416
iteration 200, loss 1.98741499
iteration 201, loss 1.98390307
iteration 202, loss 1.98125752
iteration 203, loss 1.97829251
iteration 204, loss 1.97426242
iteration 205, loss 1.97231450
iteration 206, loss 1.96908354
iteration 207, loss 1.96586275
iteration 208, loss 1.96204299
iteration 209, loss 1.95811075
iteration 210, loss 1.95514639
iteration 211, loss 1.95098722
iteration 212, loss 1.94757709
iteration 213, loss 1.94432457
iteration 214, loss 1.93999990
iteration 215, loss 1.93668981
iteration 216, loss 1.93292931
iteration 217, loss 1.92842428
iteration 218, loss 1.92425538
iteration 219, loss 1.92033123
iteration 220, loss 1.91677844
iteration 221, loss 1.91334093
iteration 222, loss 1.90933523
iteration 223, loss 1.90407314
iteration 224, loss 1.90030734
iteration 225, loss 1.89677051
iteration 226, loss 1.89308006
iteration 227, loss 1.88851999
iteration 228, loss 1.88449474
iteration 229, loss 1.88159372
iteration 230, loss 1.87543909
iteration 231, loss 1.86967135
iteration 232, loss 1.86576005
iteration 233, loss 1.86246837
iteration 234, loss 1.85812892
iteration 235, loss 1.85317414
iteration 236, loss 1.84843208
iteration 237, loss 1.84328022
iteration 238, loss 1.83860046
iteration 239, loss 1.83420079
iteration 240, loss 1.83051252
iteration 241, loss 1.82494657
iteration 242, loss 1.82065041
iteration 243, loss 1.81553541
iteration 244, loss 1.81124593
iteration 245, loss 1.80663956
iteration 246, loss 1.80044189
iteration 247, loss 1.79395132
iteration 248, loss 1.78978525
iteration 249, loss 1.78460091
iteration 250, loss 1.77962128
iteration 251, loss 1.77318284
iteration 252, loss 1.76870063
iteration 253, loss 1.76414011
iteration 254, loss 1.76038057
iteration 255, loss 1.75448743
iteration 256, loss 1.74924392
iteration 257, loss 1.74406699
iteration 258, loss 1.73952723
iteration 259, loss 1.73381920
iteration 260, loss 1.72958402
iteration 261, loss 1.72553053
iteration 262, loss 1.71898558
iteration 263, loss 1.71388976
iteration 264, loss 1.70891875
iteration 265, loss 1.70376444
iteration 266, loss 1.69741269
iteration 267, loss 1.69529350
iteration 268, loss 1.68905352
iteration 269, loss 1.68339821
iteration 270, loss 1.67503345
iteration 271, loss 1.66882032
iteration 272, loss 1.66363083
iteration 273, loss 1.65899276
iteration 274, loss 1.65396881
iteration 275, loss 1.64913329
iteration 276, loss 1.64395193
iteration 277, loss 1.63952770
iteration 278, loss 1.63301956
iteration 279, loss 1.62924692
iteration 280, loss 1.62427837
iteration 281, loss 1.61895616
iteration 282, loss 1.61210817
iteration 283, loss 1.60828021
iteration 284, loss 1.60182138
iteration 285, loss 1.59749695
iteration 286, loss 1.59064344
iteration 287, loss 1.58506085
iteration 288, loss 1.58203562
iteration 289, loss 1.57916313
iteration 290, loss 1.57411187
iteration 291, loss 1.56839024
iteration 292, loss 1.56336465
iteration 293, loss 1.55505754
iteration 294, loss 1.55103488
iteration 295, loss 1.54711118
iteration 296, loss 1.53990106
iteration 297, loss 1.53759064
iteration 298, loss 1.53317914
iteration 299, loss 1.52592066
iteration 300, loss 1.52001836
iteration 301, loss 1.51441606
iteration 302, loss 1.50995323
iteration 303, loss 1.50884502
iteration 304, loss 1.50383921
iteration 305, loss 1.49878660
iteration 306, loss 1.49186393
iteration 307, loss 1.48886610
iteration 308, loss 1.48110029
iteration 309, loss 1.48017074
iteration 310, loss 1.47342675
iteration 311, loss 1.46824526
iteration 312, loss 1.46212757
iteration 313, loss 1.45684003
iteration 314, loss 1.45212314
iteration 315, loss 1.44668032
iteration 316, loss 1.44353056
iteration 317, loss 1.43866778
iteration 318, loss 1.43371525
iteration 319, loss 1.42660035
iteration 320, loss 1.42249341
iteration 321, loss 1.41862689
iteration 322, loss 1.41730413
iteration 323, loss 1.41197131
iteration 324, loss 1.40537120
iteration 325, loss 1.40183170
iteration 326, loss 1.39621390
iteration 327, loss 1.39312855
iteration 328, loss 1.38898191
iteration 329, loss 1.38201131
iteration 330, loss 1.37970813
iteration 331, loss 1.37666343
iteration 332, loss 1.36978824
iteration 333, loss 1.36457832
iteration 334, loss 1.36558668
iteration 335, loss 1.35883050
iteration 336, loss 1.35358901
iteration 337, loss 1.34921306
iteration 338, loss 1.34536861
iteration 339, loss 1.34330306
iteration 340, loss 1.33868486
iteration 341, loss 1.33369201
iteration 342, loss 1.33135458
iteration 343, loss 1.32972545
iteration 344, loss 1.32373786
iteration 345, loss 1.31659755
iteration 346, loss 1.31324203
iteration 347, loss 1.31104458
iteration 348, loss 1.30469372
iteration 349, loss 1.30416628
iteration 350, loss 1.30244188
iteration 351, loss 1.30002701
iteration 352, loss 1.29479820
iteration 353, loss 1.29193390
iteration 354, loss 1.29119872
iteration 355, loss 1.28696159
iteration 356, loss 1.27917558
iteration 357, loss 1.27286973
iteration 358, loss 1.26832188
iteration 359, loss 1.27105678
iteration 360, loss 1.26718188
iteration 361, loss 1.26257822
iteration 362, loss 1.25875059
iteration 363, loss 1.25298245
iteration 364, loss 1.25050428
iteration 365, loss 1.24440164
iteration 366, loss 1.24199114
iteration 367, loss 1.23960836
iteration 368, loss 1.23591826
iteration 369, loss 1.23371954
iteration 370, loss 1.23294006
iteration 371, loss 1.22826549
iteration 372, loss 1.22616141
iteration 373, loss 1.22172316
iteration 374, loss 1.21626434
iteration 375, loss 1.21523395
iteration 376, loss 1.21463390
iteration 377, loss 1.21013873
iteration 378, loss 1.20780781
iteration 379, loss 1.20826109
iteration 380, loss 1.20196333
iteration 381, loss 1.19918750
iteration 382, loss 1.18870806
iteration 383, loss 1.18639253
iteration 384, loss 1.18736244
iteration 385, loss 1.18843332
iteration 386, loss 1.18642043
iteration 387, loss 1.18022930
iteration 388, loss 1.17704024
iteration 389, loss 1.17318084
iteration 390, loss 1.17097520
iteration 391, loss 1.16882697
iteration 392, loss 1.16621694
iteration 393, loss 1.16662115
iteration 394, loss 1.16055291
iteration 395, loss 1.16210405
iteration 396, loss 1.15363380
iteration 397, loss 1.15438963
iteration 398, loss 1.15129808
iteration 399, loss 1.14411493
iteration 400, loss 1.14492758
iteration 401, loss 1.14452659
iteration 402, loss 1.14200573
iteration 403, loss 1.13594348
iteration 404, loss 1.13421323
iteration 405, loss 1.12752816
iteration 406, loss 1.12527065
iteration 407, loss 1.12878040
iteration 408, loss 1.12536429
iteration 409, loss 1.12237256
iteration 410, loss 1.11802601
iteration 411, loss 1.11564055
iteration 412, loss 1.11662783
iteration 413, loss 1.11319883
iteration 414, loss 1.10757543
iteration 415, loss 1.10796455
iteration 416, loss 1.10162815
iteration 417, loss 1.09946797
iteration 418, loss 1.09794422
iteration 419, loss 1.09583556
iteration 420, loss 1.09547670
iteration 421, loss 1.09228104
iteration 422, loss 1.08899846
iteration 423, loss 1.08972480
iteration 424, loss 1.08551090
iteration 425, loss 1.08639716
iteration 426, loss 1.08686929
iteration 427, loss 1.08246458
iteration 428, loss 1.07559302
iteration 429, loss 1.07206644
iteration 430, loss 1.07056612
iteration 431, loss 1.06893635
iteration 432, loss 1.06671355
iteration 433, loss 1.06506349
iteration 434, loss 1.06315024
iteration 435, loss 1.06300333
iteration 436, loss 1.06320741
iteration 437, loss 1.05470925
iteration 438, loss 1.05768225
iteration 439, loss 1.05410518
iteration 440, loss 1.05454627
iteration 441, loss 1.05237311
iteration 442, loss 1.04311957
iteration 443, loss 1.03932697
iteration 444, loss 1.04092365
iteration 445, loss 1.03708841
iteration 446, loss 1.03803328
iteration 447, loss 1.03377421
iteration 448, loss 1.03136865
iteration 449, loss 1.03453331
iteration 450, loss 1.03237444
iteration 451, loss 1.03072504
iteration 452, loss 1.02294106
iteration 453, loss 1.02916183
iteration 454, loss 1.02446840
iteration 455, loss 1.01772639
iteration 456, loss 1.01616951
iteration 457, loss 1.01281928
iteration 458, loss 1.01802523
iteration 459, loss 1.01338545
iteration 460, loss 1.00999970
iteration 461, loss 1.00647661
iteration 462, loss 1.00652295
iteration 463, loss 1.00412434
iteration 464, loss 1.00529715
iteration 465, loss 1.00060021
iteration 466, loss 0.99969775
iteration 467, loss 0.99595075
iteration 468, loss 1.00125710
iteration 469, loss 0.99783952
iteration 470, loss 0.99158901
iteration 471, loss 0.99054963
iteration 472, loss 0.98765213
iteration 473, loss 0.98564051
iteration 474, loss 0.99069230
iteration 475, loss 0.98264130
iteration 476, loss 0.97820310
iteration 477, loss 0.97968254
iteration 478, loss 0.97821237
iteration 479, loss 0.97523963
iteration 480, loss 0.97019415
iteration 481, loss 0.96889935
iteration 482, loss 0.97323179
iteration 483, loss 0.97295001
iteration 484, loss 0.96485496
iteration 485, loss 0.96309614
iteration 486, loss 0.96387552
iteration 487, loss 0.96643432
iteration 488, loss 0.96165412
iteration 489, loss 0.95793397
iteration 490, loss 0.95573086
iteration 491, loss 0.95478245
iteration 492, loss 0.95581719
iteration 493, loss 0.95177453
iteration 494, loss 0.94977757
iteration 495, loss 0.94833672
iteration 496, loss 0.94799261
iteration 497, loss 0.94401733
iteration 498, loss 0.94624773
iteration 499, loss 0.94074745
iteration 500, loss 0.94315577
iteration 501, loss 0.94103358
iteration 502, loss 0.93855450
iteration 503, loss 0.93831634
iteration 504, loss 0.93668026
iteration 505, loss 0.93418191
iteration 506, loss 0.93376629
iteration 507, loss 0.92963419
iteration 508, loss 0.92872296
iteration 509, loss 0.92623503
iteration 510, loss 0.92538182
iteration 511, loss 0.92453915
iteration 512, loss 0.92143781
iteration 513, loss 0.92260976
iteration 514, loss 0.91537988
iteration 515, loss 0.91357750
iteration 516, loss 0.91483979
iteration 517, loss 0.91659095
iteration 518, loss 0.90931672
iteration 519, loss 0.91456990
iteration 520, loss 0.91225089
iteration 521, loss 0.91260506
iteration 522, loss 0.90631616
iteration 523, loss 0.90566949
iteration 524, loss 0.90347143
iteration 525, loss 0.90393692
iteration 526, loss 0.90031791
iteration 527, loss 0.89966157
iteration 528, loss 0.90183064
iteration 529, loss 0.89734771
iteration 530, loss 0.89560077
iteration 531, loss 0.89702346
iteration 532, loss 0.89574398
iteration 533, loss 0.89056366
iteration 534, loss 0.88761991
iteration 535, loss 0.88290891
iteration 536, loss 0.88800546
iteration 537, loss 0.88539098
iteration 538, loss 0.88492560
iteration 539, loss 0.88364480
iteration 540, loss 0.88395645
iteration 541, loss 0.88050470
iteration 542, loss 0.87458004
iteration 543, loss 0.87681139
iteration 544, loss 0.87471152
