#params: learningRate 0.300, momentum 0.900, numIterations 10000, printEvery 100, printFirst 10000
iteration 0, loss 2.13654959
iteration 1, loss 3.77060146
iteration 2, loss 2.20553495
iteration 3, loss 2.14802777
iteration 4, loss 2.41253252
iteration 5, loss 2.41630020
iteration 6, loss 2.35895313
iteration 7, loss 2.40533364
iteration 8, loss 2.29148636
iteration 9, loss 2.26920927
iteration 10, loss 2.35083279
iteration 11, loss 2.34480072
iteration 12, loss 2.50717886
iteration 13, loss 2.40160517
iteration 14, loss 2.21757566
iteration 15, loss 2.06396876
iteration 16, loss 2.03885413
iteration 17, loss 2.06541026
iteration 18, loss 2.09130935
iteration 19, loss 1.89874010
iteration 20, loss 1.86700439
iteration 21, loss 1.97262445
iteration 22, loss 1.98580923
iteration 23, loss 1.85638166
iteration 24, loss 1.78303790
iteration 25, loss 1.56066530
iteration 26, loss 1.49069059
iteration 27, loss 1.42540067
iteration 28, loss 1.20680324
iteration 29, loss 1.12402266
iteration 30, loss 0.94261034
iteration 31, loss 0.85100263
iteration 32, loss 0.72409834
iteration 33, loss 0.72081281
iteration 34, loss 0.60696464
iteration 35, loss 0.49628951
iteration 36, loss 0.54419376
iteration 37, loss 0.44125908
iteration 38, loss 0.42522322
iteration 39, loss 0.39019812
iteration 40, loss 0.34986682
iteration 41, loss 0.35929333
iteration 42, loss 0.31516029
iteration 43, loss 0.36468060
iteration 44, loss 0.28934169
iteration 45, loss 0.32617955
iteration 46, loss 0.35708741
iteration 47, loss 0.24373791
iteration 48, loss 0.23308621
iteration 49, loss 0.36615651
iteration 50, loss 0.20467798
iteration 51, loss 0.32823218
iteration 52, loss 0.25927851
iteration 53, loss 0.20750378
iteration 54, loss 0.28181415
iteration 55, loss 0.20384661
iteration 56, loss 0.16166227
iteration 57, loss 0.14709358
iteration 58, loss 0.13247046
iteration 59, loss 0.24358717
iteration 60, loss 0.12708062
iteration 61, loss 0.24355237
iteration 62, loss 0.12617937
iteration 63, loss 0.12511967
iteration 64, loss 0.09989893
iteration 65, loss 0.12653916
iteration 66, loss 0.11841305
iteration 67, loss 0.13218988
iteration 68, loss 0.10982741
iteration 69, loss 0.08363954
iteration 70, loss 0.09757069
iteration 71, loss 0.09173405
iteration 72, loss 0.09062977
iteration 73, loss 0.12637224
iteration 74, loss 0.09693499
iteration 75, loss 0.09781841
iteration 76, loss 0.40076865
iteration 77, loss 0.12120599
iteration 78, loss 0.06650783
iteration 79, loss 0.06655946
iteration 80, loss 0.08047285
iteration 81, loss 0.06702317
iteration 82, loss 0.06332442
iteration 83, loss 0.06785235
iteration 84, loss 0.06229808
iteration 85, loss 0.05518020
iteration 86, loss 0.05616513
iteration 87, loss 0.05541729
iteration 88, loss 0.05355400
iteration 89, loss 0.05030618
iteration 90, loss 0.04733106
iteration 91, loss 0.04848693
iteration 92, loss 0.04823800
iteration 93, loss 0.04759299
iteration 94, loss 0.04590278
iteration 95, loss 0.04273015
iteration 96, loss 0.04265814
iteration 97, loss 0.04203000
iteration 98, loss 0.04127947
iteration 99, loss 0.04058852
