#params: learningRate 0.500, momentum 0.000, numIterations 10000, printEvery 100, printFirst 10000
iteration 0, loss 1.44251155
iteration 1, loss 2.26185027
iteration 2, loss 2.50476273
iteration 3, loss 2.59443313
iteration 4, loss 2.62727244
iteration 5, loss 2.64623950
iteration 6, loss 2.65960846
iteration 7, loss 2.64016389
iteration 8, loss 2.70162007
iteration 9, loss 2.71378401
iteration 10, loss 2.67400499
iteration 11, loss 2.69713681
iteration 12, loss 2.66526199
iteration 13, loss 2.68778877
iteration 14, loss 2.73828339
iteration 15, loss 2.75387737
iteration 16, loss 2.73252469
iteration 17, loss 2.72100707
iteration 18, loss 2.72468396
iteration 19, loss 2.75332335
iteration 20, loss 2.78034626
iteration 21, loss 2.75487788
iteration 22, loss 2.75478030
iteration 23, loss 2.75328320
iteration 24, loss 2.74901137
iteration 25, loss 2.79489544
iteration 26, loss 2.78971678
iteration 27, loss 2.72325404
iteration 28, loss 2.79853406
iteration 29, loss 2.76743839
iteration 30, loss 2.77050841
iteration 31, loss 2.75834110
iteration 32, loss 2.78285479
iteration 33, loss 2.75690554
iteration 34, loss 2.78498900
iteration 35, loss 2.80277811
iteration 36, loss 2.80882003
iteration 37, loss 2.80677609
iteration 38, loss 2.79781129
iteration 39, loss 2.78105466
iteration 40, loss 2.79974696
iteration 41, loss 2.78487100
iteration 42, loss 2.75323977
iteration 43, loss 2.79024717
iteration 44, loss 2.80534210
iteration 45, loss 2.81285672
iteration 46, loss 2.79574342
iteration 47, loss 2.80478480
iteration 48, loss 2.79179863
iteration 49, loss 2.77477736
iteration 50, loss 2.80746662
iteration 51, loss 2.76677330
iteration 52, loss 2.77985318
iteration 53, loss 2.75664382
iteration 54, loss 2.79496236
iteration 55, loss 2.80691333
iteration 56, loss 2.77886950
iteration 57, loss 2.71220511
iteration 58, loss 2.77349785
iteration 59, loss 2.77013276
iteration 60, loss 2.81832444
iteration 61, loss 2.74384271
iteration 62, loss 2.74911458
iteration 63, loss 2.81287184
iteration 64, loss 2.77361652
iteration 65, loss 2.78675303
iteration 66, loss 2.82622406
iteration 67, loss 2.76667946
iteration 68, loss 2.81650863
iteration 69, loss 2.77110160
iteration 70, loss 2.72373494
iteration 71, loss 2.77567253
iteration 72, loss 2.73914848
iteration 73, loss 2.77560191
iteration 74, loss 2.80140363
iteration 75, loss 2.78934703
iteration 76, loss 2.79461818
iteration 77, loss 2.77360762
iteration 78, loss 2.78990865
iteration 79, loss 2.79820400
iteration 80, loss 2.79369709
iteration 81, loss 2.80899820
iteration 82, loss 2.81177675
iteration 83, loss 2.80223082
iteration 84, loss 2.78391490
iteration 85, loss 2.81144755
iteration 86, loss 2.74894000
iteration 87, loss 2.78052093
iteration 88, loss 2.80572526
iteration 89, loss 2.76834707
iteration 90, loss 2.81041811
iteration 91, loss 2.79148126
iteration 92, loss 2.80504024
iteration 93, loss 2.79875816
iteration 94, loss 2.79530460
iteration 95, loss 2.81758790
iteration 96, loss 2.77692449
iteration 97, loss 2.81384696
iteration 98, loss 2.80293416
iteration 99, loss 2.79445540
iteration 100, loss 2.80917732
iteration 101, loss 2.75305791
iteration 102, loss 2.81448987
iteration 103, loss 2.80185219
iteration 104, loss 2.75848887
iteration 105, loss 2.76829821
iteration 106, loss 2.80345823
iteration 107, loss 2.71677385
iteration 108, loss 2.76576450
iteration 109, loss 2.81441610
iteration 110, loss 2.82964910
iteration 111, loss 2.79522995
iteration 112, loss 2.75048467
iteration 113, loss 2.82625428
iteration 114, loss 2.80741440
iteration 115, loss 2.75416457
iteration 116, loss 2.80742026
iteration 117, loss 2.79976246
iteration 118, loss 2.80509052
iteration 119, loss 2.79491591
iteration 120, loss 2.78242692
iteration 121, loss 2.81512621
iteration 122, loss 2.73713638
iteration 123, loss 2.79284970
iteration 124, loss 2.80896607
iteration 125, loss 2.76665328
iteration 126, loss 2.69603426
iteration 127, loss 2.81686072
iteration 128, loss 2.81178989
iteration 129, loss 2.80682715
iteration 130, loss 2.82267748
iteration 131, loss 2.81608532
iteration 132, loss 2.78024718
iteration 133, loss 2.80408095
iteration 134, loss 2.81794830
iteration 135, loss 2.78922615
iteration 136, loss 2.76001178
iteration 137, loss 2.72721086
iteration 138, loss 2.79337509
iteration 139, loss 2.79608103
iteration 140, loss 2.77838269
iteration 141, loss 2.79510281
iteration 142, loss 2.66467769
iteration 143, loss 2.78223966
iteration 144, loss 2.71919537
iteration 145, loss 2.75692924
iteration 146, loss 2.73662502
iteration 147, loss 2.65137670
iteration 148, loss 2.69813095
iteration 149, loss 2.56792907
iteration 150, loss 2.49596846
iteration 151, loss 2.59794070
iteration 152, loss 2.54329179
iteration 153, loss 2.53026515
iteration 154, loss 2.46538167
iteration 155, loss 2.50430316
iteration 156, loss 2.44347270
iteration 157, loss 2.46860851
iteration 158, loss 2.36219316
iteration 159, loss 2.47794531
iteration 160, loss 2.43385063
iteration 161, loss 2.39570620
iteration 162, loss 2.39921120
iteration 163, loss 2.31288885
iteration 164, loss 2.38520262
iteration 165, loss 2.41049329
iteration 166, loss 2.39253091
iteration 167, loss 2.37621915
iteration 168, loss 2.33310915
iteration 169, loss 2.33380747
iteration 170, loss 2.26041684
iteration 171, loss 2.36188646
iteration 172, loss 2.32943958
iteration 173, loss 2.34686152
iteration 174, loss 2.32712217
iteration 175, loss 2.33353163
iteration 176, loss 2.23309044
iteration 177, loss 2.30937953
iteration 178, loss 2.22937591
iteration 179, loss 2.32285234
iteration 180, loss 2.19971542
iteration 181, loss 2.23525682
iteration 182, loss 2.24861939
iteration 183, loss 2.26872246
iteration 184, loss 2.25549558
iteration 185, loss 2.18987095
iteration 186, loss 2.26436178
iteration 187, loss 2.24038577
iteration 188, loss 2.22182989
iteration 189, loss 2.19641809
iteration 190, loss 2.21631804
iteration 191, loss 2.15445726
iteration 192, loss 2.13199022
iteration 193, loss 2.06678458
iteration 194, loss 2.11796107
iteration 195, loss 2.14088490
iteration 196, loss 2.07997556
iteration 197, loss 2.09398850
iteration 198, loss 2.16948721
iteration 199, loss 2.13131239
iteration 200, loss 2.11503900
iteration 201, loss 2.05895738
iteration 202, loss 2.01754659
iteration 203, loss 2.07512220
iteration 204, loss 2.02563620
iteration 205, loss 2.07352126
iteration 206, loss 2.07135738
iteration 207, loss 2.08054941
iteration 208, loss 1.93303486
iteration 209, loss 1.98165999
iteration 210, loss 1.98604668
iteration 211, loss 2.02506983
iteration 212, loss 1.95327442
iteration 213, loss 1.96082857
iteration 214, loss 1.91025189
iteration 215, loss 1.86377102
iteration 216, loss 1.84749310
iteration 217, loss 1.74049062
iteration 218, loss 1.78972531
iteration 219, loss 1.78851199
iteration 220, loss 1.72907772
iteration 221, loss 1.81636606
iteration 222, loss 1.66680411
iteration 223, loss 1.59789140
iteration 224, loss 1.70170021
iteration 225, loss 1.67423106
iteration 226, loss 1.69476023
iteration 227, loss 1.65744257
iteration 228, loss 1.63568408
iteration 229, loss 1.56651631
iteration 230, loss 1.58303771
iteration 231, loss 1.50715697
iteration 232, loss 1.54703512
iteration 233, loss 1.61057616
iteration 234, loss 1.58524836
iteration 235, loss 1.51857609
iteration 236, loss 1.57482449
iteration 237, loss 1.52967264
iteration 238, loss 1.52084031
iteration 239, loss 1.49355008
iteration 240, loss 1.52287462
iteration 241, loss 1.49627267
iteration 242, loss 1.46097887
iteration 243, loss 1.48863546
iteration 244, loss 1.53605633
iteration 245, loss 1.52142992
iteration 246, loss 1.43740270
iteration 247, loss 1.39613529
iteration 248, loss 1.50761894
iteration 249, loss 1.46361263
iteration 250, loss 1.48474357
iteration 251, loss 1.46580347
iteration 252, loss 1.43415366
iteration 253, loss 1.45555423
iteration 254, loss 1.45535652
iteration 255, loss 1.44420592
iteration 256, loss 1.44804538
iteration 257, loss 1.44332716
iteration 258, loss 1.46630816
iteration 259, loss 1.43100181
iteration 260, loss 1.44951945
iteration 261, loss 1.49409308
iteration 262, loss 1.37483829
iteration 263, loss 1.42693811
iteration 264, loss 1.40374022
iteration 265, loss 1.41477375
iteration 266, loss 1.37376851
iteration 267, loss 1.35270378
iteration 268, loss 1.38540116
iteration 269, loss 1.37201763
iteration 270, loss 1.30451899
iteration 271, loss 1.29058541
iteration 272, loss 1.32450672
iteration 273, loss 1.33944943
iteration 274, loss 1.32024219
iteration 275, loss 1.31562637
iteration 276, loss 1.28752401
iteration 277, loss 1.29816831
iteration 278, loss 1.26065185
iteration 279, loss 1.29662430
iteration 280, loss 1.25710316
iteration 281, loss 1.21777004
iteration 282, loss 1.25496041
iteration 283, loss 1.24757939
iteration 284, loss 1.21625851
iteration 285, loss 1.25834061
iteration 286, loss 1.24008846
iteration 287, loss 1.22434175
iteration 288, loss 1.20040027
iteration 289, loss 1.22836453
iteration 290, loss 1.19619287
iteration 291, loss 1.20951335
iteration 292, loss 1.22475923
iteration 293, loss 1.18004487
iteration 294, loss 1.19869350
iteration 295, loss 1.16021013
iteration 296, loss 1.17762550
iteration 297, loss 1.21752638
iteration 298, loss 1.21528782
iteration 299, loss 1.14920210
iteration 300, loss 1.13882070
iteration 301, loss 1.15792641
iteration 302, loss 1.14244449
iteration 303, loss 1.17999262
iteration 304, loss 1.17367607
iteration 305, loss 1.17928560
iteration 306, loss 1.14892385
iteration 307, loss 1.18665531
iteration 308, loss 1.15761349
iteration 309, loss 1.17601248
iteration 310, loss 1.17512862
iteration 311, loss 1.14530392
iteration 312, loss 1.13000317
iteration 313, loss 1.14937168
iteration 314, loss 1.14487761
iteration 315, loss 1.13700650
iteration 316, loss 1.14588123
iteration 317, loss 1.15860920
iteration 318, loss 1.14761850
iteration 319, loss 1.07248762
iteration 320, loss 1.12137175
iteration 321, loss 1.12815240
iteration 322, loss 1.11123772
iteration 323, loss 1.06386074
iteration 324, loss 1.14981862
iteration 325, loss 1.11103442
iteration 326, loss 1.04136832
iteration 327, loss 1.06285316
iteration 328, loss 1.12773887
iteration 329, loss 1.13080168
iteration 330, loss 1.08436409
iteration 331, loss 1.09608929
iteration 332, loss 1.03095017
iteration 333, loss 1.06949984
iteration 334, loss 1.13099591
iteration 335, loss 1.04992182
iteration 336, loss 1.09410089
iteration 337, loss 1.09821569
iteration 338, loss 1.11767595
iteration 339, loss 1.06702688
iteration 340, loss 1.09460146
iteration 341, loss 1.09035983
iteration 342, loss 1.10585822
iteration 343, loss 1.05169984
iteration 344, loss 1.03015557
iteration 345, loss 1.03619016
iteration 346, loss 1.08923936
iteration 347, loss 1.08859173
iteration 348, loss 1.04602146
iteration 349, loss 1.08443156
iteration 350, loss 1.01606495
iteration 351, loss 1.02633644
iteration 352, loss 1.05121565
iteration 353, loss 1.06101023
iteration 354, loss 1.09430839
iteration 355, loss 1.05439981
iteration 356, loss 1.04377008
iteration 357, loss 1.02344308
iteration 358, loss 1.04187289
iteration 359, loss 0.98452626
iteration 360, loss 1.01291486
iteration 361, loss 1.02810607
iteration 362, loss 1.04666849
iteration 363, loss 0.98216659
iteration 364, loss 1.03719473
iteration 365, loss 0.99415036
iteration 366, loss 1.00716514
iteration 367, loss 0.92014247
iteration 368, loss 0.97793603
iteration 369, loss 0.98842411
iteration 370, loss 1.01504035
iteration 371, loss 0.95386055
iteration 372, loss 0.97486389
iteration 373, loss 1.00181713
iteration 374, loss 0.97591429
iteration 375, loss 0.98197861
iteration 376, loss 0.97015888
iteration 377, loss 0.86950875
iteration 378, loss 0.95081124
iteration 379, loss 0.96259554
iteration 380, loss 1.01045151
iteration 381, loss 0.92139452
iteration 382, loss 0.91048928
iteration 383, loss 0.95014960
iteration 384, loss 0.94610798
iteration 385, loss 0.89250641
iteration 386, loss 0.96937246
iteration 387, loss 0.92627832
iteration 388, loss 0.85770426
iteration 389, loss 0.93489666
iteration 390, loss 0.94331052
iteration 391, loss 0.84854331
iteration 392, loss 0.95741470
iteration 393, loss 0.93130000
iteration 394, loss 0.84228128
iteration 395, loss 0.91157870
iteration 396, loss 0.89417810
iteration 397, loss 0.92085793
iteration 398, loss 0.90579193
iteration 399, loss 0.84289094
iteration 400, loss 0.88883998
iteration 401, loss 0.84908089
iteration 402, loss 0.92218919
iteration 403, loss 0.93052761
iteration 404, loss 0.89998172
iteration 405, loss 0.81824423
iteration 406, loss 0.86125693
iteration 407, loss 0.88553493
iteration 408, loss 0.91011579
iteration 409, loss 0.89178452
iteration 410, loss 0.88819626
iteration 411, loss 0.80508480
iteration 412, loss 0.85818873
iteration 413, loss 0.90826060
iteration 414, loss 0.88732498
iteration 415, loss 0.85183902
iteration 416, loss 0.84323711
iteration 417, loss 0.77134412
iteration 418, loss 0.83807691
iteration 419, loss 0.84973225
iteration 420, loss 0.85180308
iteration 421, loss 0.87156847
iteration 422, loss 0.84790893
iteration 423, loss 0.82349596
iteration 424, loss 0.76862203
iteration 425, loss 0.83231327
iteration 426, loss 0.82302137
iteration 427, loss 0.76469242
iteration 428, loss 0.77805994
iteration 429, loss 0.80127733
iteration 430, loss 0.74565185
iteration 431, loss 0.76613716
iteration 432, loss 0.73110817
iteration 433, loss 0.74704814
iteration 434, loss 0.75712164
iteration 435, loss 0.74743655
iteration 436, loss 0.76488415
iteration 437, loss 0.72504055
iteration 438, loss 0.74117953
iteration 439, loss 0.76355198
iteration 440, loss 0.73208601
iteration 441, loss 0.73513473
iteration 442, loss 0.64858571
iteration 443, loss 0.69505921
iteration 444, loss 0.71094338
iteration 445, loss 0.75464915
iteration 446, loss 0.69044801
iteration 447, loss 0.68485220
iteration 448, loss 0.71495123
iteration 449, loss 0.76373941
iteration 450, loss 0.72666603
iteration 451, loss 0.69375377
iteration 452, loss 0.65501438
iteration 453, loss 0.74216996
iteration 454, loss 0.68232026
iteration 455, loss 0.62849302
iteration 456, loss 0.66626347
iteration 457, loss 0.68627536
iteration 458, loss 0.70944342
iteration 459, loss 0.69097050
iteration 460, loss 0.68323825
iteration 461, loss 0.70037113
iteration 462, loss 0.66326405
iteration 463, loss 0.66460409
iteration 464, loss 0.67706558
iteration 465, loss 0.62693913
iteration 466, loss 0.68520840
iteration 467, loss 0.64007631
iteration 468, loss 0.67756384
iteration 469, loss 0.69546819
iteration 470, loss 0.63344020
iteration 471, loss 0.66449880
iteration 472, loss 0.63361213
iteration 473, loss 0.62727685
iteration 474, loss 0.68453874
iteration 475, loss 0.62620119
iteration 476, loss 0.57499854
iteration 477, loss 0.65392102
iteration 478, loss 0.63637181
iteration 479, loss 0.64274378
iteration 480, loss 0.63869162
iteration 481, loss 0.61711685
iteration 482, loss 0.64537636
iteration 483, loss 0.64503862
iteration 484, loss 0.56862766
iteration 485, loss 0.60726270
iteration 486, loss 0.65064960
iteration 487, loss 0.66008235
iteration 488, loss 0.59839599
iteration 489, loss 0.59101093
iteration 490, loss 0.58543662
iteration 491, loss 0.59973699
iteration 492, loss 0.65279144
iteration 493, loss 0.64423943
iteration 494, loss 0.54796827
iteration 495, loss 0.60139902
iteration 496, loss 0.62127556
iteration 497, loss 0.61069343
iteration 498, loss 0.63211184
iteration 499, loss 0.53015397
iteration 500, loss 0.60235632
iteration 501, loss 0.59226583
iteration 502, loss 0.59778334
iteration 503, loss 0.62831594
iteration 504, loss 0.60951797
iteration 505, loss 0.51893920
iteration 506, loss 0.60488023
iteration 507, loss 0.57727379
iteration 508, loss 0.62523707
iteration 509, loss 0.58538819
iteration 510, loss 0.53464628
iteration 511, loss 0.58004832
iteration 512, loss 0.58382311
iteration 513, loss 0.57591202
iteration 514, loss 0.57976530
iteration 515, loss 0.57190359
iteration 516, loss 0.58395514
iteration 517, loss 0.59661255
iteration 518, loss 0.55646406
iteration 519, loss 0.58471688
iteration 520, loss 0.60016662
iteration 521, loss 0.54911674
iteration 522, loss 0.55583147
iteration 523, loss 0.57265409
iteration 524, loss 0.57778794
iteration 525, loss 0.59447699
iteration 526, loss 0.54883349
iteration 527, loss 0.56338681
iteration 528, loss 0.54442268
iteration 529, loss 0.54179399
iteration 530, loss 0.52423651
iteration 531, loss 0.58534708
iteration 532, loss 0.57160668
iteration 533, loss 0.54500871
iteration 534, loss 0.53362564
iteration 535, loss 0.51924017
iteration 536, loss 0.56464477
iteration 537, loss 0.55221675
iteration 538, loss 0.53266954
iteration 539, loss 0.54404507
iteration 540, loss 0.56808504
iteration 541, loss 0.54955168
iteration 542, loss 0.49391808
iteration 543, loss 0.45605048
iteration 544, loss 0.53707819
iteration 545, loss 0.53599451
iteration 546, loss 0.56534952
iteration 547, loss 0.45870225
iteration 548, loss 0.51226313
iteration 549, loss 0.53171211
iteration 550, loss 0.55929405
iteration 551, loss 0.49418428
iteration 552, loss 0.50391109
iteration 553, loss 0.45355019
iteration 554, loss 0.48468406
iteration 555, loss 0.48775429
iteration 556, loss 0.51935683
iteration 557, loss 0.52275906
iteration 558, loss 0.44329897
iteration 559, loss 0.50351438
iteration 560, loss 0.42263301
iteration 561, loss 0.50061281
iteration 562, loss 0.50623344
iteration 563, loss 0.46939200
iteration 564, loss 0.49798313
iteration 565, loss 0.46925688
iteration 566, loss 0.44299106
iteration 567, loss 0.45159538
iteration 568, loss 0.46713662
iteration 569, loss 0.47309070
iteration 570, loss 0.47063585
iteration 571, loss 0.49329043
iteration 572, loss 0.45865173
iteration 573, loss 0.43286351
iteration 574, loss 0.43058929
iteration 575, loss 0.44305413
iteration 576, loss 0.40829831
iteration 577, loss 0.42794687
iteration 578, loss 0.42676624
iteration 579, loss 0.41710447
iteration 580, loss 0.42910217
iteration 581, loss 0.39549045
iteration 582, loss 0.43291093
iteration 583, loss 0.42508959
iteration 584, loss 0.38659874
iteration 585, loss 0.37579571
iteration 586, loss 0.39564387
iteration 587, loss 0.38622281
iteration 588, loss 0.38093166
iteration 589, loss 0.36687098
iteration 590, loss 0.36157819
iteration 591, loss 0.37990465
iteration 592, loss 0.36330702
iteration 593, loss 0.37072075
iteration 594, loss 0.35809329
iteration 595, loss 0.36533416
iteration 596, loss 0.34529935
iteration 597, loss 0.33063675
iteration 598, loss 0.37345242
iteration 599, loss 0.32549517
iteration 600, loss 0.33697058
iteration 601, loss 0.33234156
iteration 602, loss 0.33763964
iteration 603, loss 0.33096121
iteration 604, loss 0.30555835
iteration 605, loss 0.29331312
iteration 606, loss 0.32139884
iteration 607, loss 0.32623759
iteration 608, loss 0.30081507
iteration 609, loss 0.29962579
iteration 610, loss 0.31536034
iteration 611, loss 0.30020785
iteration 612, loss 0.27888542
iteration 613, loss 0.27701750
iteration 614, loss 0.28092287
iteration 615, loss 0.27731465
iteration 616, loss 0.25988822
iteration 617, loss 0.26079053
iteration 618, loss 0.28657252
iteration 619, loss 0.26264138
iteration 620, loss 0.24866735
iteration 621, loss 0.26131339
iteration 622, loss 0.25494138
iteration 623, loss 0.24191164
iteration 624, loss 0.23158315
iteration 625, loss 0.24751152
iteration 626, loss 0.24095992
iteration 627, loss 0.23502473
iteration 628, loss 0.22815769
iteration 629, loss 0.22189109
iteration 630, loss 0.21956077
iteration 631, loss 0.21096008
iteration 632, loss 0.21463542
iteration 633, loss 0.22276133
iteration 634, loss 0.20570652
iteration 635, loss 0.21023479
iteration 636, loss 0.20358344
iteration 637, loss 0.20650609
iteration 638, loss 0.20854457
iteration 639, loss 0.19684046
iteration 640, loss 0.19507528
iteration 641, loss 0.19734546
iteration 642, loss 0.19154131
iteration 643, loss 0.19588494
iteration 644, loss 0.18752823
iteration 645, loss 0.18596683
iteration 646, loss 0.18660573
iteration 647, loss 0.18583772
iteration 648, loss 0.18040514
iteration 649, loss 0.18294625
iteration 650, loss 0.17461365
iteration 651, loss 0.17424676
iteration 652, loss 0.17772121
iteration 653, loss 0.17774047
iteration 654, loss 0.17247596
iteration 655, loss 0.17304058
iteration 656, loss 0.17059052
iteration 657, loss 0.17031019
iteration 658, loss 0.16674714
iteration 659, loss 0.16430215
iteration 660, loss 0.16716789
iteration 661, loss 0.16319312
iteration 662, loss 0.16052398
iteration 663, loss 0.16155571
iteration 664, loss 0.15989760
iteration 665, loss 0.15945524
iteration 666, loss 0.15810126
iteration 667, loss 0.15533195
iteration 668, loss 0.15458241
iteration 669, loss 0.15753052
iteration 670, loss 0.15715958
iteration 671, loss 0.15280953
iteration 672, loss 0.15430735
iteration 673, loss 0.15001091
iteration 674, loss 0.15011742
iteration 675, loss 0.15016699
iteration 676, loss 0.14780892
iteration 677, loss 0.14722052
iteration 678, loss 0.14665829
iteration 679, loss 0.14536279
iteration 680, loss 0.14479384
iteration 681, loss 0.14458338
iteration 682, loss 0.14547386
iteration 683, loss 0.14282385
iteration 684, loss 0.13991511
iteration 685, loss 0.14336138
iteration 686, loss 0.14332592
iteration 687, loss 0.14041103
iteration 688, loss 0.13971770
iteration 689, loss 0.13672888
iteration 690, loss 0.13658145
iteration 691, loss 0.13370580
iteration 692, loss 0.13606089
iteration 693, loss 0.13886965
iteration 694, loss 0.13495286
iteration 695, loss 0.13455877
iteration 696, loss 0.13063766
iteration 697, loss 0.13314890
iteration 698, loss 0.13311874
iteration 699, loss 0.13202139
iteration 700, loss 0.12842363
iteration 701, loss 0.13007347
iteration 702, loss 0.13174152
iteration 703, loss 0.13133170
iteration 704, loss 0.12760930
iteration 705, loss 0.12503123
iteration 706, loss 0.12700525
iteration 707, loss 0.12784398
iteration 708, loss 0.12533055
iteration 709, loss 0.12732476
iteration 710, loss 0.12307478
iteration 711, loss 0.12502373
iteration 712, loss 0.12623074
iteration 713, loss 0.12326637
iteration 714, loss 0.12187391
iteration 715, loss 0.12077023
iteration 716, loss 0.12146786
iteration 717, loss 0.12333380
iteration 718, loss 0.12123513
iteration 719, loss 0.12093140
iteration 720, loss 0.12121607
iteration 721, loss 0.12055403
iteration 722, loss 0.11912431
iteration 723, loss 0.11813801
iteration 724, loss 0.11606820
iteration 725, loss 0.11828511
iteration 726, loss 0.11515306
iteration 727, loss 0.11685031
iteration 728, loss 0.11648226
iteration 729, loss 0.11543184
iteration 730, loss 0.11623164
iteration 731, loss 0.11520387
iteration 732, loss 0.11484379
iteration 733, loss 0.11404733
iteration 734, loss 0.11354856
iteration 735, loss 0.11260125
iteration 736, loss 0.11127906
iteration 737, loss 0.11291728
iteration 738, loss 0.11296075
iteration 739, loss 0.11135424
iteration 740, loss 0.10839153
