#params: learningRate 0.010, momentum 0.900, numIterations 100000, printEvery 1000, printFirst 2000
iteration 0, loss 0.47966227
iteration 1, loss 0.50585649
iteration 2, loss 0.53928623
iteration 3, loss 0.56925220
iteration 4, loss 0.59129132
iteration 5, loss 0.60633809
iteration 6, loss 0.61616733
iteration 7, loss 0.62289737
iteration 8, loss 0.62658277
iteration 9, loss 0.62901816
iteration 10, loss 0.63103064
iteration 11, loss 0.63196623
iteration 12, loss 0.63269193
iteration 13, loss 0.63307647
iteration 14, loss 0.63310009
iteration 15, loss 0.63309317
iteration 16, loss 0.63330498
iteration 17, loss 0.63351243
iteration 18, loss 0.63338012
iteration 19, loss 0.63343555
iteration 20, loss 0.63326830
iteration 21, loss 0.63335944
iteration 22, loss 0.63343266
iteration 23, loss 0.63348051
iteration 24, loss 0.63350309
iteration 25, loss 0.63314507
iteration 26, loss 0.63307472
iteration 27, loss 0.63354756
iteration 28, loss 0.63317310
iteration 29, loss 0.63330412
iteration 30, loss 0.63333349
iteration 31, loss 0.63337551
iteration 32, loss 0.63326911
iteration 33, loss 0.63339746
iteration 34, loss 0.63326643
iteration 35, loss 0.63308375
iteration 36, loss 0.63296521
iteration 37, loss 0.63293235
iteration 38, loss 0.63304907
iteration 39, loss 0.63319068
iteration 40, loss 0.63309953
iteration 41, loss 0.63316214
iteration 42, loss 0.63322038
iteration 43, loss 0.63308455
iteration 44, loss 0.63295863
iteration 45, loss 0.63281142
iteration 46, loss 0.63292262
iteration 47, loss 0.63283737
iteration 48, loss 0.63287322
iteration 49, loss 0.63304472
iteration 50, loss 0.63281217
iteration 51, loss 0.63301548
iteration 52, loss 0.63304653
iteration 53, loss 0.63310073
iteration 54, loss 0.63274020
iteration 55, loss 0.63261690
iteration 56, loss 0.63270640
iteration 57, loss 0.63305142
iteration 58, loss 0.63283236
iteration 59, loss 0.63266617
iteration 60, loss 0.63237438
iteration 61, loss 0.63282172
iteration 62, loss 0.63280224
iteration 63, loss 0.63241075
iteration 64, loss 0.63242993
iteration 65, loss 0.63220162
iteration 66, loss 0.63196313
iteration 67, loss 0.63229615
iteration 68, loss 0.63197697
iteration 69, loss 0.63216441
iteration 70, loss 0.63232209
iteration 71, loss 0.63212078
iteration 72, loss 0.63204744
iteration 73, loss 0.63186796
iteration 74, loss 0.63161850
iteration 75, loss 0.63164744
iteration 76, loss 0.63149641
iteration 77, loss 0.63158151
iteration 78, loss 0.63131566
iteration 79, loss 0.63117670
iteration 80, loss 0.63114060
iteration 81, loss 0.63095474
iteration 82, loss 0.63073141
iteration 83, loss 0.63061602
iteration 84, loss 0.63058316
iteration 85, loss 0.63033397
iteration 86, loss 0.63042316
iteration 87, loss 0.63025464
iteration 88, loss 0.62993558
iteration 89, loss 0.62997550
iteration 90, loss 0.62964511
iteration 91, loss 0.62952673
iteration 92, loss 0.62929003
iteration 93, loss 0.62916347
iteration 94, loss 0.62891071
iteration 95, loss 0.62856075
iteration 96, loss 0.62854169
iteration 97, loss 0.62822596
iteration 98, loss 0.62801663
iteration 99, loss 0.62786245
iteration 100, loss 0.62748972
iteration 101, loss 0.62764468
iteration 102, loss 0.62704837
iteration 103, loss 0.62668004
iteration 104, loss 0.62665698
iteration 105, loss 0.62647243
iteration 106, loss 0.62596684
iteration 107, loss 0.62596217
iteration 108, loss 0.62554288
iteration 109, loss 0.62484150
iteration 110, loss 0.62420656
iteration 111, loss 0.62399761
iteration 112, loss 0.62392335
iteration 113, loss 0.62312876
iteration 114, loss 0.62274345
iteration 115, loss 0.62265142
iteration 116, loss 0.62199967
iteration 117, loss 0.62152199
iteration 118, loss 0.62092549
iteration 119, loss 0.62048468
iteration 120, loss 0.62008086
iteration 121, loss 0.61939362
iteration 122, loss 0.61942865
iteration 123, loss 0.61855407
iteration 124, loss 0.61786474
iteration 125, loss 0.61762417
iteration 126, loss 0.61716854
iteration 127, loss 0.61624840
iteration 128, loss 0.61551916
iteration 129, loss 0.61488475
iteration 130, loss 0.61406928
iteration 131, loss 0.61337767
iteration 132, loss 0.61297419
iteration 133, loss 0.61226028
iteration 134, loss 0.61126737
iteration 135, loss 0.61072999
iteration 136, loss 0.61010314
iteration 137, loss 0.60960380
iteration 138, loss 0.60864035
iteration 139, loss 0.60763381
iteration 140, loss 0.60683206
iteration 141, loss 0.60589955
iteration 142, loss 0.60586215
iteration 143, loss 0.60467456
iteration 144, loss 0.60416669
iteration 145, loss 0.60309275
iteration 146, loss 0.60211684
iteration 147, loss 0.60164772
iteration 148, loss 0.60036340
iteration 149, loss 0.59973816
iteration 150, loss 0.59919784
iteration 151, loss 0.59807421
iteration 152, loss 0.59677129
iteration 153, loss 0.59564968
iteration 154, loss 0.59514105
iteration 155, loss 0.59397012
iteration 156, loss 0.59334824
iteration 157, loss 0.59202825
iteration 158, loss 0.59193844
iteration 159, loss 0.59058841
iteration 160, loss 0.58955238
iteration 161, loss 0.58887038
iteration 162, loss 0.58772181
iteration 163, loss 0.58712052
iteration 164, loss 0.58593908
iteration 165, loss 0.58488779
iteration 166, loss 0.58360998
iteration 167, loss 0.58279861
iteration 168, loss 0.58283542
iteration 169, loss 0.58125083
iteration 170, loss 0.58055329
iteration 171, loss 0.57933334
iteration 172, loss 0.57833317
iteration 173, loss 0.57729272
iteration 174, loss 0.57648489
iteration 175, loss 0.57549943
iteration 176, loss 0.57494976
iteration 177, loss 0.57362302
iteration 178, loss 0.57327802
iteration 179, loss 0.57171520
iteration 180, loss 0.57164063
iteration 181, loss 0.57008173
iteration 182, loss 0.56879287
iteration 183, loss 0.56793343
iteration 184, loss 0.56703253
iteration 185, loss 0.56643755
iteration 186, loss 0.56505182
iteration 187, loss 0.56402632
iteration 188, loss 0.56296823
iteration 189, loss 0.56206100
iteration 190, loss 0.56121372
iteration 191, loss 0.56093323
iteration 192, loss 0.56007957
iteration 193, loss 0.55973668
iteration 194, loss 0.55871237
iteration 195, loss 0.55737300
iteration 196, loss 0.55655542
iteration 197, loss 0.55587158
iteration 198, loss 0.55549354
iteration 199, loss 0.55430322
iteration 200, loss 0.55309274
iteration 201, loss 0.55232846
iteration 202, loss 0.55184875
iteration 203, loss 0.55072841
iteration 204, loss 0.55001500
iteration 205, loss 0.54905468
iteration 206, loss 0.54817351
iteration 207, loss 0.54763014
iteration 208, loss 0.54730051
iteration 209, loss 0.54627535
iteration 210, loss 0.54539719
iteration 211, loss 0.54511116
iteration 212, loss 0.54354221
iteration 213, loss 0.54270266
iteration 214, loss 0.54168800
iteration 215, loss 0.54120673
iteration 216, loss 0.54042984
iteration 217, loss 0.54049146
iteration 218, loss 0.53935282
iteration 219, loss 0.53835000
iteration 220, loss 0.53793826
iteration 221, loss 0.53735503
iteration 222, loss 0.53703547
iteration 223, loss 0.53614222
iteration 224, loss 0.53516761
iteration 225, loss 0.53426146
iteration 226, loss 0.53365456
iteration 227, loss 0.53295209
iteration 228, loss 0.53218847
iteration 229, loss 0.53319394
iteration 230, loss 0.53195941
iteration 231, loss 0.53113346
iteration 232, loss 0.52978765
iteration 233, loss 0.52970883
iteration 234, loss 0.52941392
iteration 235, loss 0.52862030
iteration 236, loss 0.52814378
iteration 237, loss 0.52682259
iteration 238, loss 0.52616368
iteration 239, loss 0.52537518
iteration 240, loss 0.52580038
iteration 241, loss 0.52444501
iteration 242, loss 0.52406057
iteration 243, loss 0.52339152
iteration 244, loss 0.52283650
iteration 245, loss 0.52262018
iteration 246, loss 0.52138493
iteration 247, loss 0.52124911
iteration 248, loss 0.52052646
iteration 249, loss 0.51975869
iteration 250, loss 0.51927280
iteration 251, loss 0.51835723
iteration 252, loss 0.51724244
iteration 253, loss 0.51714797
iteration 254, loss 0.51722858
iteration 255, loss 0.51628572
iteration 256, loss 0.51582526
iteration 257, loss 0.51519737
iteration 258, loss 0.51491672
iteration 259, loss 0.51415145
iteration 260, loss 0.51346743
iteration 261, loss 0.51355756
iteration 262, loss 0.51340990
iteration 263, loss 0.51223758
iteration 264, loss 0.51189896
iteration 265, loss 0.51164255
iteration 266, loss 0.51079987
iteration 267, loss 0.51089293
iteration 268, loss 0.51043105
iteration 269, loss 0.50970213
iteration 270, loss 0.50922973
iteration 271, loss 0.50833019
iteration 272, loss 0.50746479
iteration 273, loss 0.50664402
iteration 274, loss 0.50622719
iteration 275, loss 0.50575977
iteration 276, loss 0.50565748
iteration 277, loss 0.50563810
iteration 278, loss 0.50504958
iteration 279, loss 0.50429038
iteration 280, loss 0.50429694
iteration 281, loss 0.50373694
iteration 282, loss 0.50332521
iteration 283, loss 0.50255249
iteration 284, loss 0.50231585
iteration 285, loss 0.50143325
iteration 286, loss 0.50096833
iteration 287, loss 0.50017792
iteration 288, loss 0.49974791
iteration 289, loss 0.50044826
iteration 290, loss 0.50032017
iteration 291, loss 0.49945867
iteration 292, loss 0.49885786
iteration 293, loss 0.49870691
iteration 294, loss 0.49761961
iteration 295, loss 0.49761682
iteration 296, loss 0.49685849
iteration 297, loss 0.49668709
iteration 298, loss 0.49655322
iteration 299, loss 0.49606769
iteration 300, loss 0.49499907
iteration 301, loss 0.49469221
iteration 302, loss 0.49449375
iteration 303, loss 0.49467438
iteration 304, loss 0.49392680
iteration 305, loss 0.49332976
iteration 306, loss 0.49280024
iteration 307, loss 0.49253453
iteration 308, loss 0.49240634
iteration 309, loss 0.49200259
iteration 310, loss 0.49148211
iteration 311, loss 0.49090994
iteration 312, loss 0.49056513
iteration 313, loss 0.49030588
iteration 314, loss 0.48968173
iteration 315, loss 0.48885769
iteration 316, loss 0.48888235
iteration 317, loss 0.48835699
iteration 318, loss 0.48780912
iteration 319, loss 0.48756837
iteration 320, loss 0.48686792
iteration 321, loss 0.48652659
iteration 322, loss 0.48699089
iteration 323, loss 0.48618761
iteration 324, loss 0.48529980
iteration 325, loss 0.48504346
iteration 326, loss 0.48572878
iteration 327, loss 0.48460698
iteration 328, loss 0.48456525
iteration 329, loss 0.48365412
iteration 330, loss 0.48358486
iteration 331, loss 0.48279508
iteration 332, loss 0.48309153
iteration 333, loss 0.48205414
iteration 334, loss 0.48224132
iteration 335, loss 0.48186011
iteration 336, loss 0.48099203
iteration 337, loss 0.48056130
iteration 338, loss 0.48061019
iteration 339, loss 0.48007630
iteration 340, loss 0.47971230
iteration 341, loss 0.47987077
iteration 342, loss 0.47883043
iteration 343, loss 0.47932100
iteration 344, loss 0.47896096
iteration 345, loss 0.47829890
iteration 346, loss 0.47759680
iteration 347, loss 0.47721463
iteration 348, loss 0.47670721
iteration 349, loss 0.47632417
iteration 350, loss 0.47671684
iteration 351, loss 0.47671260
iteration 352, loss 0.47628734
iteration 353, loss 0.47572228
iteration 354, loss 0.47568000
iteration 355, loss 0.47542157
iteration 356, loss 0.47514948
iteration 357, loss 0.47450487
iteration 358, loss 0.47292008
iteration 359, loss 0.47331538
iteration 360, loss 0.47316682
iteration 361, loss 0.47269690
iteration 362, loss 0.47226198
iteration 363, loss 0.47173428
iteration 364, loss 0.47101141
iteration 365, loss 0.47061601
iteration 366, loss 0.47057351
iteration 367, loss 0.46961683
iteration 368, loss 0.46913580
iteration 369, loss 0.46887844
iteration 370, loss 0.46892174
iteration 371, loss 0.46914418
iteration 372, loss 0.46906724
iteration 373, loss 0.46849892
iteration 374, loss 0.46796595
iteration 375, loss 0.46767238
iteration 376, loss 0.46798542
iteration 377, loss 0.46700712
iteration 378, loss 0.46653868
iteration 379, loss 0.46655591
iteration 380, loss 0.46590751
iteration 381, loss 0.46581575
iteration 382, loss 0.46506849
iteration 383, loss 0.46377875
iteration 384, loss 0.46382809
iteration 385, loss 0.46405710
iteration 386, loss 0.46354862
iteration 387, loss 0.46375066
iteration 388, loss 0.46255185
iteration 389, loss 0.46216196
iteration 390, loss 0.46175337
iteration 391, loss 0.46146880
iteration 392, loss 0.46116758
iteration 393, loss 0.46160355
iteration 394, loss 0.46078574
iteration 395, loss 0.46038357
iteration 396, loss 0.45962543
iteration 397, loss 0.45921335
iteration 398, loss 0.45920207
iteration 399, loss 0.45849805
iteration 400, loss 0.45822148
iteration 401, loss 0.45779695
iteration 402, loss 0.45738747
iteration 403, loss 0.45710523
iteration 404, loss 0.45639720
iteration 405, loss 0.45571203
iteration 406, loss 0.45496434
iteration 407, loss 0.45481530
iteration 408, loss 0.45487028
iteration 409, loss 0.45459819
iteration 410, loss 0.45384365
iteration 411, loss 0.45358381
iteration 412, loss 0.45316357
iteration 413, loss 0.45269356
iteration 414, loss 0.45229710
iteration 415, loss 0.45168970
iteration 416, loss 0.45141835
iteration 417, loss 0.45112878
iteration 418, loss 0.45073003
iteration 419, loss 0.45023753
iteration 420, loss 0.45005090
iteration 421, loss 0.44985539
iteration 422, loss 0.44925617
iteration 423, loss 0.44874565
iteration 424, loss 0.44863382
iteration 425, loss 0.44828230
iteration 426, loss 0.44815839
iteration 427, loss 0.44774755
